STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/6/2004,2004,3,6,30.5,33,28
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/7/2004,2004,3,7,34,43,25
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/8/2004,2004,3,8,42,50,34
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/9/2004,2004,3,9,47,55,39
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/10/2004,2004,3,10,38,45,31
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/11/2004,2004,3,11,38.5,47,30
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/12/2004,2004,3,12,43,50,36
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/13/2004,2004,3,13,40,47,33
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/14/2004,2004,3,14,43,49,37
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/15/2004,2004,3,15,39,46,32
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/16/2004,2004,3,16,41,47,35
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/17/2004,2004,3,17,42,49,35
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/18/2004,2004,3,18,47,55,39
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/19/2004,2004,3,19,53.5,60,47
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/20/2004,2004,3,20,56,64,48
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/21/2004,2004,3,21,59.5,67,52
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/22/2004,2004,3,22,57.5,65,50
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/23/2004,2004,3,23,53.5,62,45
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/24/2004,2004,3,24,49.5,56,43
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/25/2004,2004,3,25,50.5,57,44
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/26/2004,2004,3,26,37,49,25
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/27/2004,2004,3,27,32,38,26
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/28/2004,2004,3,28,33.5,42,25
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/29/2004,2004,3,29,43,55,31
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/30/2004,2004,3,30,51.5,60,43
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/31/2004,2004,3,31,54,61,47
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/1/2004,2004,4,1,45,52,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/2/2004,2004,4,2,48,56,40
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/3/2004,2004,4,3,47,54,40
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/4/2004,2004,4,4,47,54,40
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,4/5/2004,2004,4,5,49.5,57,42
